digital_track_id,release_album,published_on,genre_desc,artist_name,song_duration,label_info,price_usd
4143,Beauty Behind the Madness,28-Aug-15,"R&B / Soul , Music",The Weeknd,6:17,"2015 The Weeknd XO , Inc. . Manufactured and Marketed by Republic Records , a Division of UMG Recordings , Inc.",$ 1.29
4144,What Dreams Are Made Of,,"Pop,Music,Hip-Hop / Rap , Rap , Rock",R. City,--,2015 Kemosabe Records,Album Only
4145,What Dreams Are Made Of,,"Pop,Music,Hip-Hop / Rap , Rap , Rock",R. City,--,2015 Kemosabe Records,Album Only
4146,What Dreams Are Made Of,,"Pop,Music,Hip-Hop / Rap , Rap , Rock",R. City,--,2015 Kemosabe Records,Album Only
4147,What Dreams Are Made Of,,"Pop,Music,Hip-Hop / Rap , Rap , Rock",R. City,--,2015 Kemosabe Records,Album Only
4148,What Dreams Are Made Of,,"Pop,Music,Hip-Hop / Rap , Rap , Rock",R. City,--,2015 Kemosabe Records,Album Only
4149,What Dreams Are Made Of,,"Pop,Music,Hip-Hop / Rap , Rap , Rock",R. City,--,2015 Kemosabe Records,Album Only
4150,What Dreams Are Made Of,,"Pop,Music,Hip-Hop / Rap , Rap , Rock",R. City,--,2015 Kemosabe Records,Album Only
4151,What Dreams Are Made Of,,"Pop,Music,Hip-Hop / Rap , Rap , Rock",R. City,--,2015 Kemosabe Records,Album Only
4152,What Dreams Are Made Of,,"Pop,Music,Hip-Hop / Rap , Rap , Rock",R. City,--,2015 Kemosabe Records,Album Only
4153,What Dreams Are Made Of,,"Pop,Music,Hip-Hop / Rap , Rap , Rock",R. City,--,2015 Kemosabe Records,Album Only
4154,What Dreams Are Made Of,,"Pop,Music,Hip-Hop / Rap , Rap , Rock",R. City,--,2015 Kemosabe Records,Album Only
4155,I 'm That ... ( Remix ) [ feat . Beenie Man & Azealia Banks ] - Single,23-Mar-15,"Hip-Hop/Rap , Music",R. City,3:30,2015 Kemosabe Records,$ 1.29
4156,What Dreams Are Made Of,,"Pop,Music,Hip-Hop / Rap , Rap , Rock",R. City,--,2015 Kemosabe Records,Album Only
4157,What Dreams Are Made Of,,"Pop,Music,Hip-Hop / Rap , Rap , Rock",R. City,--,2015 Kemosabe Records,Album Only
4158,Losin ' It - Single,22-Apr-08,"Hip-Hop/Rap , Music",R. City,3:56,2008 Geffen Records,$ 1.29
4159,I 'm That ... ( feat . 2 Chainz ) - Single,14-Oct-14,"Hip-Hop/Rap , Music",R. City,3:19,2014 Kemosabe Records,$ 1.29
4160,What Dreams Are Made Of,,"Pop,Music,Hip-Hop / Rap , Rap , Rock",R. City,--,2015 Kemosabe Records,Album Only
4161,What Dreams Are Made Of,,"Pop,Music,Hip-Hop / Rap , Rap , Rock",R. City,--,2015 Kemosabe Records,Album Only
4162,What Dreams Are Made Of,,"Pop,Music,Hip-Hop / Rap , Rap , Rock",R. City,--,2015 Kemosabe Records,Album Only
4163,What Dreams Are Made Of,,"Pop,Music,Hip-Hop / Rap , Rap , Rock",R. City,--,2015 Kemosabe Records,Album Only
4164,What Dreams Are Made Of,,"Pop,Music,Hip-Hop / Rap , Rap , Rock",R. City,--,2015 Kemosabe Records,Album Only
4165,What Dreams Are Made Of,,"Pop,Music,Hip-Hop / Rap , Rap , Rock",R. City,--,2015 Kemosabe Records,Album Only
4166,What Dreams Are Made Of,,"Pop,Music,Hip-Hop / Rap , Rap , Rock",R. City,--,2015 Kemosabe Records,Album Only
4167,What Dreams Are Made Of,,"Pop,Music,Hip-Hop / Rap , Rap , Rock",R. City,--,2015 Kemosabe Records,Album Only
4168,Goodness Gracious ( The Chainsmokers Extended Remix ) - Single,22-Apr-14,"Pop , Music",Ellie Goulding,4:19,2014 Polydor Ltd. ( UK ),$ 1.29
4169,Beating Heart - EP,26-May-14,"Pop , Music , Rock",Ellie Goulding,5:18,2014 Polydor Ltd. ( UK ),$ 1.29
4170,"Now That 's What I Call Music , Vol . 43",7-Aug-12,"Pop , Music",Eva Simons,4:11,"Compilation 2012 NOW Joint Venture . All rights reserved . Unauthorized reproduction is a violation of applicable laws . Manufactured by Capitol Catalog , 1750 North Vine Street , Hollywood , CA 90028 .",Album Only
4171,Anything Could Happen ( Remixed ),15-Jan-13,"Pop , Music , Rock",Ellie Goulding,7:45,2013 Polydor Ltd. ( UK ),$ 1.29
4172,"Runtastic Music - Running , Vol . 2",12-Sep-14,"Fitness & Workout , Music",Seinabo Sey,5:52,"2014 Universal Music Strategic Marketing , a division of Universal Music GmbH",Album Only
4173,Burn ( Remixes ),17-Sep-13,"Pop , Music , Rock",Ellie Goulding,4:10,2013 Polydor Ltd. ( UK ),$ 1.29
4174,I Know You Care ( Save the Children #song4syria ) - Single,23-Sep-13,"Pop , Music",Ellie Goulding,3:26,2013 Polydor Ltd. ( UK ),$ 1.29
4175,iTunes Session - EP,10-Dec-13,"Pop , Music",Ellie Goulding,3:45,2013 Polydor Ltd. ( UK ),$ 1.29
4176,The Hunger Games : Catching Fire ( Original Motion Picture Soundtrack ) [ Deluxe Edition ],19-Nov-13,"Soundtrack , Music , Classical , Original Score , Soundtrack",Antony & The Johnsons,3:47,"2013 Universal Republic Records , a division of UMG Recordings , Inc.",$ 1.29
4177,Fifty Shades of Grey ( Original Motion Picture Soundtrack Remixed ),4-May-15,"Soundtrack , Music",Danny Elfman,3:30,"2015 Universal Studios Under Exclusive License to Republic Records , a Division of UMG Recordings , Inc.",$ 1.29
4178,iTunes Festival : London 2010 - EP,15-Jul-10,"Pop , Music",Ellie Goulding,3:48,2010 Polydor Ltd. ( UK ),$ 1.29
4179,Starry Eyed ( Remixes ) - EP,15-Feb-11,"Dance , Music , Pop , Rock",Ellie Goulding,8:14,2011 Polydor Ltd. ( UK ),$ 1.29
4180,Burn ( Remixes ),17-Sep-13,"Pop , Music , Rock",Ellie Goulding,4:10,2013 Polydor Ltd. ( UK ),$ 1.29
4181,Run Into the Light,30-Aug-10,"Fitness & Workout , Music , Dance , Rock , Pop",Ellie Goulding,5:35,2010 Polydor Ltd. ( UK ),$ 1.29
4182,Burn ( Remixes ),17-Sep-13,"Pop , Music , Rock",Ellie Goulding,4:10,2013 Polydor Ltd. ( UK ),$ 1.29
4183,Burn ( Remixes ),17-Sep-13,"Pop , Music , Rock",Ellie Goulding,4:10,2013 Polydor Ltd. ( UK ),$ 1.29
4184,Burn ( Remixes ),17-Sep-13,"Pop , Music , Rock",Ellie Goulding,4:10,2013 Polydor Ltd. ( UK ),$ 1.29
4185,Burn ( Remixes ),17-Sep-13,"Pop , Music , Rock",Ellie Goulding,4:10,2013 Polydor Ltd. ( UK ),$ 1.29
4186,Addicted To Bass Winter 2013 - Ministry of Sound,30-Sep-13,"Dance , Music",Friend Within,2:18,2013 Ministry of Sound Recordings Ltd.,Album Only
4187,The Hunger Games : Catching Fire ( Original Motion Picture Soundtrack ),19-Nov-13,"Soundtrack , Music , Original Score , Classical , Soundtrack",Santigold,3:36,"2013 Universal Republic Records , a division of UMG Recordings , Inc.",$ 1.29
4188,About Time ( Original Motion Picture Soundtrack ),29-Oct-13,"Soundtrack , Music",Ellie Goulding,2:34,"2013 Decca , a division of Universal Music Operations Limited",Album Only
4189,iTunes Festival : London 2013 Š -- -- EP,22-Oct-13,"Pop , Music",Ellie Goulding,3:43,2013 Polydor Ltd. ( UK ),$ 1.29
4190,iTunes Festival : London 2013 Š -- -- EP,22-Oct-13,"Pop , Music",Ellie Goulding,3:43,2013 Polydor Ltd. ( UK ),$ 1.29
4191,iTunes Festival : London 2013 Š -- -- EP,22-Oct-13,"Pop , Music",Ellie Goulding,3:43,2013 Polydor Ltd. ( UK ),$ 1.29
4192,iTunes Festival : London 2013 Š -- -- EP,22-Oct-13,"Pop , Music",Ellie Goulding,3:43,2013 Polydor Ltd. ( UK ),$ 1.29
4193,iTunes Festival : London 2013 Š -- -- EP,22-Oct-13,"Pop , Music",Ellie Goulding,3:43,2013 Polydor Ltd. ( UK ),$ 1.29
4194,iTunes Festival : London 2013 Š -- -- EP,22-Oct-13,"Pop , Music",Ellie Goulding,3:43,2013 Polydor Ltd. ( UK ),$ 1.29
4195,The Annual 2014 - Ministry of Sound,11-Nov-13,"Dance , Music",Dillon Francis,3:59,2013 Ministry of Sound Recordings Ltd.,Album Only
4196,iTunes Session - EP,10-Dec-13,"Pop , Music",Ellie Goulding,3:45,2013 Polydor Ltd. ( UK ),$ 1.29
