track_id,published_on,duration_sec,price_usd,music_genre,artist_name_str,copy_right,track_label
22368,,4:44,$ 1.29,Country,Remix Radio DJ,2015 Real Sounds,I Do n't Fuck With You [ feat . E-40 ] [ Explicit ]
22369,,3:33,$ 0.89,Country,Remix Radio DJ,2015 Real Sounds,Trouble On My Mind ( Album ) [ Explicit ]
22370,,3:54,$ 1.29,Country,Remix Radio DJ,2015 Real Sounds,Work Out [ Explicit ]
22371,,4:11,$ 1.29,Country,Remix Radio DJ,2015 Real Sounds,Or Nah ( feat . Wiz Khalifa and DJ Mustard ) [ Explicit ]
22372,,3:55,$ 1.29,Country,Remix Radio DJ,2015 Real Sounds,Freek-A-Leek ( Dirty Version ) [ Explicit ]
22373,,3:45,$ 0.99,Country,Remix Radio DJ,2015 Real Sounds,MC Hammer ( feat . Mouse On da Track ) [ Explicit ]
22374,,4:09,$ 1.29,Country,Remix Radio DJ,2015 Real Sounds,Whatever You Like [ Explicit ]
22375,,3:14,$ 1.29,Country,Remix Radio DJ,2015 Real Sounds,Made Me [ Explicit ]
22376,,3:30,$ 1.29,Country,Remix Radio DJ,2015 Real Sounds,Handsome And Wealthy [ Explicit ]
22377,,4:20,$ 1.29,Country,Remix Radio DJ,2015 Real Sounds,Bounce It ( Explicit Version ) [ Explicit ]
22378,,5:17,$ 1.29,Country,Remix Radio DJ,2015 Real Sounds,Clappers ( feat . Nicki Minaj & Juicy J ) [ Explicit ]
22379,,2:45,$ 1.29,Country,Remix Radio DJ,2015 Real Sounds,Thinking With My D ** k ( feat . Juicy J ) [ Explicit ]
22380,,5:34,$ 0.89,Country,Remix Radio DJ,2015 Real Sounds,Get Low [ Explicit ]
22381,,3:17,$ 1.29,Country,Remix Radio DJ,2015 Real Sounds,Main Chick [ Explicit ]
22382,,3:17,$ 1.29,Country,Remix Radio DJ,2015 Real Sounds,Too Much [ Explicit ]
22383,,3:51,$ 0.99,Country,Remix Radio DJ,2015 Real Sounds,No Way [ Explicit ]
22384,,3:27,$ 1.29,Country,Remix Radio DJ,2015 Real Sounds,I 'm Different ( Album Version ( Explicit ) ) [ Explicit ]
22385,,2:46,$ 1.29,Country,Remix Radio DJ,2015 Real Sounds,Ass Drop [ Explicit ]
